Euribor,3 meses,4 meses,5 meses
14-may-04 2,094 2,12 2,142
15-jun-04 2,121 2,153 2,184
15-jul-04 2,115 2,131 2,153
16-ago-04 2,113 2,129 2,147
15-sep-04 2,116 2,157 2,182
15-oct-04 2,146 2,159 2,169
15-nov-04 2,173 2,185 2,195
15-dic-04 2,175 2,181 2,186
14-ene-05 2,144 2,156 2,169
15-feb-05 2,136 2,148 2,164
15-mar-05 2,135 2,152 2,163
15-abr-05 2,136 2,146 2,155
16-may-05 2,126 2,135 2,141,,,
