,,Euros,
• Saldos de Principal Pendientes de Pago de los Bonos
de todas las Series en una Fecha de Determinación
concreta,500.000.000,,
• Saldo Vivo de las Participaciones Hipotecarias a la
misma fecha,480.000.000,,
• Diferencia
(Cantidad Devengada de Principal para Amortización de
los Bonos),20.000.000,,
