,Entidad,,Importe Nominal Asegurado,,,,
,Aseguradora,,,,,,
,,,Bonos Serie A1,Bonos Serie A2,Bonos Serie B,Bonos Serie C,Bonos Serie D
Barclays Bank
PLC, actuando a
través de su
división de banca
de inversión
Barclays Capital,,,154.000.000,504.000.000,7.000.000,7.700.000,7.300.000
Bancaja,,,-,10.000.000,-,-,-
Caja Madrid,,,-,10.000.000,-,-,-
TOTAL,,,154.000.000,524.000.000,7.000.000,7.700.000,7.300.000
