,,Euros,
• Cantidad Devengada de Principal para Amortización de
los Bonos,20.000.000,,
• Por no disponer el Fondo de liquidez suficiente, Fondos
Disponibles para Amortización para satisfacer la Cantidad
Devengada de Principal para Amortización,18.000.000,,
• Déficit de Amortización,2.000.000,,
