Retrasos en el pago de cuotas vencidas al día 31.03.2007,
Intervalo Préstamos Principal pendiente
hipotecarios
Días de vencer,Principal vencido no pagado
,% s/ Principal
pendiente total
Entre 1 y 15 días 351 38.705.901,68 94.991,67 0,0047,
Entre 16 y 30 días 728 83.709.225,36 156.580,96 0,0077,
Entre 31 y 60 días 273 28.977.358,81 145.573,99 0,0071,
Entre 61 y 90 días 40 4.749.476,47 28.426,37 0,0014,
Total 1.392 156.141.962,32 425.572,99 0,0208,
