% TAA:,10%,,,13%,,16%
,Bonos Serie C,,,,,
Vida media (años),10,38,,8,59,,,7,25
TIR,4,487%,,4,486%,,,4,486%
Duración (años),7,88,,6,77,,,5,88
Fecha de Liquidación Anticipada,28-feb-22,,26-ago-19,,,27-nov-17
del Fondo al 10%,,,,,,
