% TAA:,10%,,,13%,16%
,Bonos Serie A,,,,
Vida media (años),6,22,,5,13,,4,35
TIR,4,099%,,4,099%,,4,099%
Duración (años),4,99,,4,24,,3,68
Fecha de Liquidación Anticipada,28-feb-22,,26-ago-19,,27-nov-17
del Fondo al 10%,,,,,
