ENTIDAD,,,,SERIE A,,,,,,SERIE B,,,,SERIE C,,,,,,SERIE D,,,,
,,,,Nº,,,Importe,,,Nº,,,Importe,Nº,,,Importe,,,Nº,,,Importe,
CAM,,,-,,,-,,,-,,,-,,-,,-,,,128,,,12.800.000,,
CALYON,,,6.083,,,608.300.000,,,172,,,17.200.000,,70,,7.000.000,,,-,,,-,,
DEXIA,,,4.088,,,408.800.000,,,115,,,11.500.000,,47,,4.700.000,,,-,,,-,,
MERRILL LYNCH,,,6.083,,,608.300.000,,,172,,,17.200.000,,70,,7.000.000,,,-,,,-,,
EBN,,,50,,,5.000.000,,,-,,,-,,-,,-,,,-,,,-,,
RABOBANK
INTERNATIONAL,,,50,,,5.000.000,,,-,,,-,,-,,-,,,-,,,-,,
,TOTAL,,,16.354,,,1.635.400.000,,,459,,,45.900.000,187,,,18.700.000,,,128,,,12.800.000,
