,Nombre,,,Cargo en sociedades cotizadas y/o relevantes,
,,,Financiamiento de Infraestructuras.,,
D. Jesús Río Cortes,,,Responsable de Titulización para el sur de Europa de Bear Stearns
International Limited.,,
