% TAA:,10%,,,13%,,16%
,Bonos Serie D,,,,,
Vida media (años),12,22,,10,15,,,8,70
TIR,7,666%,,7,666%,,,7,666%
Duración (años),7,31,,6,51,,,5,86
Fecha de Liquidación Anticipada,28-feb-22,,26-ago-19,,,27-nov-17
del Fondo al 10%,,,,,,
