Cartera de Préstamos Hipotecarios a 12/02/2024,,,,,
Clasificación en función del instrumento de cómo son emitidos los Préstamos Hipotecarios,,,,,
,,,,,
,Préstamos,,Capital Pendiente,,
Método de emisión,,,,,
,,%,(euros),%,
,,,,,
Participaciones Hipotecarias,10.036,88,72,632.786.719,84,83,95,
Certificados de Transmisión de Hipoteca,1.276,11,28,120.996.458,51,16,05,
TOTAL,11.312 100,00,,753.783.178,35 100,00,,
