,BBVA CONSUMO 13 FT,,,11.03.2024,,,2.000.000.000,,2.000.000.000,,,,,,,,,,,,
,BBVA LEASING 3 FT,,,27.11.2023,,,2.400.000.000,,2.014.719.931,,,-16,05%,,,2.400.000.000,,,,,,
,BBVA Consumer Auto 2023-1 FT,,,05.06.2023,,,804.000.000,,692.739.061,,,-5,59%,,,733.719.538,,,,,,
,BBVA CONSUMO 12 FT,,,13.03.2023,,,3.000.000.000,,2.276.558.280,,,-7,82%,,,2.469.712.185,,,,,,
,BBVA RMBS 22 FT,,,28.11.2022,,,1.400.000.000,,1.281.162.642,,,-1,75%,,,1.303.997.820,,,-6,86%,,,1.400.000.000,00
