,Cartera de préstamos hipotecarios de CAJA RURAL DE ZAMORA a 12/02/2024,,,,,,,,
,Clasificación en función de si los préstamos tienen posibilidad de bonificación en el margen por venta,,,,,,,,
,cruzada,,,,,,,,
¿Posibilidad de
bonificación en
el margen?,,,Máxima,,Préstamos,Principal pendiente,%,%
acumulado,
,,,bonificación,,,,,,
,,,aplicable al,,,,,,
,,,margen,,,,,,
SI,,1,50%,,,770,55.316.034,20,42,54,42,70,
Totales:,,1,50%(*),,,2.415,130.041.630,41,100,00,,
