,,Año de entrada en mora,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,
∑ Saldo Vivo Activos
entrada mora
(Ppal.Miles €),1.873,54,38,74,,,252,85,,,405,53,,,414,37,,,97,93,,,59,14,,,80,14,,,155,56,,,369,26,
37,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,
38,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,
39,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,
40,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,
41,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,,,,
42,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,,,,
43,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,,,,
44,99,99%,,1 0 0 , 0 0%,,,100,00%,,,100,00%,,,,,,,,,,,,,,,,,,
45,99,99%,,1 0 0 , 0 0%,,,100,00%,,,,,,,,,,,,,,,,,,,,,
46,99,99%,,1 0 0 , 0 0%,,,100,00%,,,,,,,,,,,,,,,,,,,,,
47,99,99%,,1 0 0 , 0 0%,,,100,00%,,,,,,,,,,,,,,,,,,,,,
48,99,99%,,1 0 0 , 0 0%,,,100,00%,,,,,,,,,,,,,,,,,,,,,
49,99,99%,,1 0 0 , 0 0%,,,,,,,,,,,,,,,,,,,,,,,,
50,99,99%,,1 0 0 , 0 0%,,,,,,,,,,,,,,,,,,,,,,,,
51,99,99%,,1 0 0 , 0 0%,,,,,,,,,,,,,,,,,,,,,,,,
52,99,99%,,1 0 0 , 0 0%,,,,,,,,,,,,,,,,,,,,,,,,
