,Definición de calificación,,,Calificación,,,Tendencia,
Long-Term Issuer Rating,,,A (high),,,Estable,,
Short Term Issuer Rating,,,R1 (middle),,,Estable,,
Long Term Critical Obligations Rating (“COR”)(1),,,AA,,,Estable,,
Calificación de depósitos a largo plazo,,,A (high),,,Estable,,
(1) Mide el riesgo de impago de determinadas obligaciones/exposiciones en ciertos bancos que se consideran críticas y tienen
una mayor probabilidad de quedar excluidas del rescate y de permanecer como entidad en funcionamiento en caso de
resolución de un banco con problemas que otras obligaciones senior no garantizadas, como puede ocurrir en virtud de la
aplicación de la directiva sobre Recuperación y Resolución Bancarias.,,,,,,,,
