,Cartera de préstamos hipotecarios de CAJA RURAL DE ZAMORA a 12/02/2024,,,,,,
,Clasificación en función de si los préstamos tienen posibilidad de bonificación en el margen por venta,,,,,,
,cruzada,,,,,,
¿Posibilidad de
bonificación en
el margen?,,Máxima
bonificación
aplicable al
margen,Préstamos,Principal pendiente,%,%
acumulado,
NO,,-,1.643,74.515.218,82,57,30,57,30,
,,1,00%,2,210.377,39,0,16,,
