,Definición de calificación,,,Calificación,,,Tendencia,
Long-Term Issuer Rating,,,BBB (high),,,Estable,,
Short Term Issuer Rating,,,R1 (low),,,Estable,,
Calificación de depósitos a largo plazo,,,BBB (high),,,Estable,,
