Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por fecha contabilización de la operación de arrendamiento financiero,,
Intervalo de fechas,Operaciones
%,Capital pendiente
(euros) %
Del 01/01/2004 al 30/06/2004,7.063 8,51,210.504.583,53 7,24
Del 01/07/2004 al 31/12/2004,6.207 7,48,213.743.814,72 7,35
Del 01/01/2005 al 30/06/2005,14.871 17,92,426.878.802,13 14,68
Del 01/07/2005 al 31/12/2005,11.129 13,41,335.550.216,03 11,54
Del 01/01/2006 al 30/06/2006,15.996 19,28,549.830.207,31 18,91
Del 01/07/2006 al 31/12/2006,10.454 12,60,415.899.434,73 14,30
Del 01/01/2007 al 04/05/2007,7.705 9,29,342.306.572,50 11,77
Total,82.978 100,00,2.907.642.553,40 100,00
,23,17 Meses
101,10 Meses
1,08 Meses,Antigüedad media ponderada
Antigüedad máxima
Antigüedad mínima
