,Bonos Serie C,,,,
Vida media (años),6,91,6,67,6,42,6,16,6,16
TIR,6,383%,6,383%,6,383%,6,383%,6,383%
Duración (años),7,95,7,62,7,29,6,95,6,95
Vencimiento final,26 05 2014,26 02 2014,26 11 2013,26 08 2013,26 08 2013
(en años),6,91,6,67,6,42,6,16,6,16
