Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por Índice de referencia del tipo de interés,,,,
Índice de referencia,Operaciones
%,,Capital pendiente
(euros) %,
Tipo de interés fijo
Tipo de interés variable *
EURIBOR/MIBOR 1 año
EURIBOR/MIBOR 6 meses
EURIBOR/MIBOR 3 meses,15.882
67.096
14.524
40.669
11.903,19,140
80,86
17,50
49,01
14,34,254.954.089,45
2.652.688.463,95
638.084.557,71
1.424.507.523,36
590.096.382,88,8,7684
91,23
21,95
49,09
20,39
Total 82.978 100,00 2.907.642.553,40 100,00,,,,
