,Incorporation Expenses,,,,
CNMV Fee,,,60,033.29,,
AIAF Fee,,,40,600.00,,
Sociedad de Gestión de los Sistemas de Registro,
Compensación y Liquidación de Valores, S.A. Fee,,,2,900.00,,
Rating Agencies, legal advisers and auditors, notarial
expenses and publications, initial fee of the Managing
Company and others,,,709,895.71,,
,Subtotal,,,813,429.00,
,Issue and placement expenses,,,,
Arrangement fee,,,70,000,,
Underwriting fee,,,700,000,,
,Subtotal,,,770,000,
,Total,,,1,583,429.00,
