,Euros,
• Principal Due for Repayment of the Notes,20,000,000,
• Due to the Fund not having enough liquidity,
Available Principal Funds for Repayment to pay
the Principal Due for Repayment of the Notes,18,000,000,
• Principal Deficiency,2,000,000,
