,,Euros,
• Unpaid Principal Balance of the Notes of all Classes
of Notes on a given Calculation Date,500,000,000,,
• Principal Balance of the Mortgage Shares on the
same date,480,000,000,,
• Difference
(Principal Due for Repayment of the Notes),20,000,000,,
