% TAA:,10%,12%,15%
,Bonos Serie B,,
Vida media (años),10,53,9,47,7,85
TIR,3,977%,3,977%,3,977%
Duración (años),8,199,7,530,6,434
Fecha de Liquidación
Anticipada del Fondo,28/01/2022,28/07/2020,30/07/2018
