% TAA:,10%,12%,,15%
,Bonos Serie A,,,
Vida media (años),6,31,5,55,,4,68
TIR,3,716%,3,716%,,3,716%
Duración (años),5,150,4,615,,3,978
Fecha de Liquidación,28/01/2022,28/07/2020,,30/07/2018
Anticipada del Fondo,,,,
