% LTV,T= 18 MESES,T= 24 MESES,T= 36 MESES,T= 48 MESES
> 80%,PH x100%,PH x100%,PH x100%,PH x100%
80% - 60%,PH x 50%,PH x 75%,PH x 100%,PH x 100%
60% - 40%,PH x 25%,PH x 50%,PH x 75%,PH x 100%
< 40%,0%,0%,PH x 25%,PH x 50%
