Fecha de Pago,Importe Nocional
15/12/2005,340.000.000 euros
15/03/2006,305.000.000 euros
15/06/2006,190.000.000 euros
15/09/2006,120.000.000 euros
15/03/2007,40.000.000 euros
15/09/2007,30.000.000 euros
15/03/2008,20.000.000 euros
