,Préstamos hipotecarios
%,Principal pendiente
(euros) %
788.424,93 0,039
788.169,60 0,039
2.032.964.774,880 99,573
Deudor 9,2 0,011,
Deudor 10,1 0,005,
Resto 18.402 Deudores,18.612 99,936,
