,Bonos Serie B,,,,
Vida media (años),16,31,13,96,12,05,10,49,9,22
TIR,5,649%,5,649%,5,649%,5,649%,5,649%
Duración (años),10,06,9,08,8,20,7,42,6,74
Vencimiento final,26 08 2030,25 02 2028,25 11 2025,27 11 2023,25 02 2022
(en años),22,17,19,67,17,42,15,42,13,67
