ATRIBUCIONES,,GARANTIA REAL
,ATRIBUCIONES,
COMISION EJECUTIVA,,2.000.000 €
,COMISION COLEGIADA,1.000.000 €
,DTOR. GENERAL,300.000 €
,DTOR. AREA INVER.,
,DTOR. AREA COMER.,
,DTOR. AREA EMPR.,
,SUBDTOR. AREA INV.,
,ANALISTA,250.000 €
,DIRECTOR OFICINA,
,,
