,,,,,31.12.2007,,31.12.2006,,(A)/(B)
,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,
,,,,294,,286,,1,030,
,,,,,239,,204,,1,170
,,,,,252,,246,,1,024
,,,,,23,,25,,0,921
,,,,,275,,271,,1,015
,,,,,34,,32,,1,070
,,,,,34,,31,,1,074
,,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,,,
,,,,,8,,7,,1,261
,,,,,10,,8,,1,237
,,,,,10,,8,,1,261
,,,,,5,,4,,1,467
,,,,,4,,3,,1,205
,,,,,,,,,
RATIOS RELEVANTES (%),,,,,,,,,
,,,,,1,80,,1,40,,
,,,,,9,85,,8,82,,
,,,,,1,03,,0,98,,
,,,,1,35,,1,34,,,
,,,,,42,16,,49,20,,
,,,,,45,33,,52,94,,
,,,,,1,66,,1,19,,
,,,,,1,00,,0,72,,
,,,,,137,64,,162,71,,
,,,,,,,,,
INFORMACIÓN ADICIONAL,,,,,,,,,
,,,,,29.528,,29.443,,
,,,,,11.742,,11.516,,
,,,,,54,,52,,
,,,,,6,,6,,
