Órgano decisorio,Límite del Préstamo Hipotecario
Oficinas,Sin competencias
Jefatura de Riesgos,Hasta 25.000€
Dirección General,Hasta 60.000€
Comité Préstamos,Hasta 300.000€
Consejo Rector,Resto
