,,,,
TDA CAM 4, FONDO DE TITULIZACIÓN DE ACTIVOS,,,,
,,,,
Variaciones en las hipótesis asumidas para el cuadro del Servicio Financiero del Fondo,,,,
EURIBOR 2,135%,,,,
Escenario,,5% TAA,10% TAA,15% TAA
,Vida media (años),7,17,5,29,4,11
Serie A,,,,
,TIR,2,31%,2,31%,2,31%
,Vida media (años),16,04,12,55,10,04
Serie B,,,,
,TIR,2,54%,2,54%,2,54%
,,,,
Fecha de Liquidación Anticipada del Fondo,,26/03/2021,26/09/2017,26/03/2015
,,,,
