,,,,,,
Serie,Importe efectivo (euros),%,Cupón,Amortización,Fitch,Moody’s
,,,,,,
A,1.952.000.000,97,6%,3m Euribor + 0,06%-0,12%,Pass-through,AAA,Aaa
B,48.000.000,2,4%,3m Euribor + 0,20%-0,35%,Pass-through,A,A2
