EQUITY,,31/12/2016,,,31/12/2015,,,31/12/2014,,
(thousands of Euros),,,,,,,,,,
Share Capital,,,1,705,,,1,000,,,1,000,
Other Own Funds Items,,,1,666,,,0,,,0,
Legal Reserve,,,200,,,200,,,200,
Voluntary Reserve,,,1,443,,,1,274,,,1,176,
Reserves adapted to NPGC (New General Plan,,0,,,0,,,0,,
for Accounting, in the Spanish original),,,,,,,,,,
Undistributed Results,,,81,,,169,39,,,98,
TOTAL,,5,095,,,2,643,,,2,474,,
