CAIXABANK CONSUMO 3, FT,,,,
,,8% TAA,10% TAA,12% TAA
Serie A,Vida media (años)
TIR
Duración (años)
Amortización Final,1,90
0,43%
2,12
20/03/2022,1,78
0,43%
2,00
20/12/2021,1,68
0,43%
1,89
20/09/2021
Serie B,Vida media (años)
TIR
Duración (años)
Amortización Final,4,41
0,68%
4,59
20/03/2022,4,16
0,68%
4,34
20/12/2021,3,90
0,68%
4,10
20/09/2021
Fecha de Liquidación Anticipada del Fondo,,20/03/2022,20/12/2021,20/09/2021
Años desde Fecha Constitución,,4,73,4,48,4,23
