,% TAA:,,,10%,,,13%,,16%,
,,,,Bonos Serie A1,,,,,,
,Vida media (años),,3,79,,,2,79,,2,10,,
,TIR,,3,69%,,,3,69%,,3,68%,,
,Duración (años),,3,29,,,2,50,,1,93,,
,Fecha de Liquidación Anticipada del Fondo,,26/05/2021,,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,,,
