,% TAA:,,,10%,,,13%,,,16%,
,,,,Bonos Serie F,,,,,,,
,Vida media (años),,11,92,,,10,05,,,8,61,,
,TIR,,7,51%,,,7,51%,,,7,51%,,
,Duración (años),,7,27,,,6,52,,,5,86,,
,Fecha de Liquidación Anticipada del Fondo,,26/05/2021,,,26/02/2019,,,26/05/2017,,
,al 10%,,,,,,,,,,
