,,,,Calificación Moody's,,,Calificación S&P,,Calificación Fitch,
,Corto,,P-1,,,A-1,,,F1,
,plazo,,,,,,,,,
,Largo,,Aa2,,,AA,,,AA,
,plazo,,,,,,,,,
