Cartera de Préstamos Hipotecarios a 29 de mayo de 2007,,,,,,,,
,Cartera de Préstamos Hipotecarios a 29 de mayo de 2007,,,,,,,
Retrasos en el Pago de Cuotas Vencidas,,,,,,,,
,Retrasos en el Pago de Cuotas Vencidas,,,,,,,
,,Préstamos Hipotecarios,,Principal Vencido no Pagado,,Principal pendiente de,,
,,,,Principal Vencido no Pagado,,vencer,,
Intervalo Días,,Nº operaciones,%,,%,,%,
,,,,Importe,,Importe,,%
corriente de pago
Inferior a 90 días
Superior a 90 días,,5.684 95,40%
274 4,60%
0,00 0%,,0,00 0%
94.857,99 100%
0,00 0%,,900.779.104,05 95,88%
38.665.932,81 4,12%
0,00 0%,,
Total Cartera,,5.958,100%,94.857,99,100%,939.445.036,86,100,00%,100,00%
,,,,,,,,
