,Serie,,,Moody´s,,S&P,
Serie A1,,,Aaa,,,AAA,
Serie A2,,,Aaa,,,AAA,
Serie B,,,A1,,,A,
Serie C,,,Baa2,,,BBB-,
Serie D,,,Ca,,,CCC-,
