,DBRS,Moody’s
Serie A,AA (sf),Aa2 (sf)
Serie B,A (sf),A3 (sf)
Serie C,BBB (sf),Baa3 (sf)
Serie D,BB (low) (sf),Ba1 (sf)
Serie E,No calificada,No calificada
Serie F,No calificada,No calificada
