,31/12/2020 31/12/2021
(Thousand EUR) (Thousand EUR)
Equity,5,000 5,000
Capital,1,000 1,000
Reserves,4,000 4,000
Trading results-Profit,3,288 3,248
Total Equity,8,288 8,248
