Month,Not in Arrears (%
of total portfolio),1-30 Days in
Arrears (% of
total portfolio),31-60 Days in
Arrears (% of
total portfolio),61-90 Days in
Arrears (% of
total portfolio),+90 Days in
Arrears (% of
total portfolio)
