Vehicle type
New / Used,,,Number of loans,,,Number of loans
(% of total),,,Current
Oustanding
Balance (EUR),,,,Current,
,,,,,,,,,,,,,Oustanding,
,,,,,,,,,,,,,Balance,
,,,,,,,,,,,,,(% of total),
New
Used,,,16,263
56,352,,,22.40%
77.60%,,,285,507,265
705,173,848,,,28.82%
71.18%,,
,Total,,,72,615,,,100.00%,,,990,681,113,,,100.00%,
