DELEGATION OF REESTRUCTURING POWERS: SCF PORTFOLIO,,
,Total risk for applications from
individuals and legal entities,Total risk for applications from
individuals with mortgage guarantee
RREE,,
,,
Standardised Risks Management,Up to EUR 250,000,Up to EUR 500,000
Portfolio management and policy,Up to EUR 250,000,Up to EUR 500,000
officer,,
Portfolio manager,Up to EUR 250,000,Up to EUR 500,000
UDO Director,Up to EUR 250,000,Up to EUR 500,000
UDO Deputy Director,Up to EUR 200,000,Up to EUR 400,000
UDO analyst,Up to EUR 100,000,Up to EUR 300,000
