Retention by the Seller,,,Number of loans,,Number of loans
(% of total),,,,,Current,
,,,,,,,,Current,,,
,,,,,,,,,,Oustanding,
,,,,,,,,Oustanding,,,
,,,,,,,,,,Balance,
,,,,,,,,Balance (EUR),,,
,,,,,,,,,,(% of total),
,,,,,,,,,,,
Securitised Portfolio
Retained by the Seller,,,68,984
3,631,,95.00%
5.00%,,,941,147,058
49,534,056,95.00%
5.00%,,
,Total,,,72,615,,100.00%,,990,681,113,,100.00%,
