,Used Vehicle,,,,,,Cumulative gross loss %,,,,
,Origination year,,,Originated amount (EUR),,,to 12 months,,,to 24 months,
20174,,,122,044,754,,,3.22%,,,5.39%,,
2018,,,705,332,794,,,3.62%,,,5.97%,,
2019,,,845,718,996,,,3.62%,,,5.59%,,
2020,,,704,109,447,,,2.97%,,,5.71%5,,
2021,,,928,246,564,,,2.80%6,,,--,,
2022,,,384,350,044,,,--,,,--,,
