,% TAA,,9%,12%,,15%,
,,,Bonos Serie C,,,,
,Vida media (años),10,48,,8,73,7,34,,
,TIR,4,81%,,4,81%,4,81%,,
,Duración (años),7,79,,6,75,5,86,,
,Fecha de Liquidación Anticipada,26-may-22,,26-feb-20,26-feb-18,,
,del Fondo - 10%,,,,,,
