,% TAA,9%,12%,,15%,
,,Bonos Serie A1,,,,
,Vida media (años),3,78,3,08,2,60,,
,TIR,4,26%,4,26%,4,26%,,
,Duración (años),3,27,2,72,2,32,,
,Fecha de Liquidación Anticipada
del Fondo - 10%,26-may-22,26-feb-20,26-feb-18,,
