Bonos,Moody’s,S&P
Bonos A1,Aaa,AAA
Bonos A2,Aaa,AAA
Bonos B,A1,A
Bonos C,Baa2,BBB-
Bonos D,Ba1,BB
Bonos E,__,CCC-
