,% TAA,,9%,12%,,15%,
,,,Bonos Serie B,,,,
,Vida media (años),10,48,,8,73,7,34,,
,TIR,4,55%,,4,55%,4,55%,,
,Duración (años),7,90,,6,84,5,93,,
,Fecha de Liquidación Anticipada,26-may-22,,26-feb-20,26-feb-18,,
,del Fondo - 10%,,,,,,
