,,,,Serie A2,,Serie B,,Serie D,,Serie E
,,,Serie A1,,Serie A2,,Serie C,,Serie D,
,Tipo de Interés,4,089%,,4,129%,,4,359%,4,609%,6,709%,,7,709%
,Nominal,,,,,,,,,
