,,,,Calificación Moody's,,,Calificación S&P,
,Corto plazo,,P-1,,,A-1,,
,Largo plazo,,A2,,,A,,
,Fecha,,Junio 2009,,,Marzo 2009,,
,Perspectiva,,Negativa,,,Estable,,
