Recursos Propios
(miles de euros),31/12/2007,31/12/2008,30/09/2009
Capital,903,00,903,00,903,00
Reservas,,,
Reserva Legal,180,60,180,60,180,60
Otras Reservas,3.142,06,4.215,00,5.695,97
Perdidas y Ganancias,,,
Beneficio ejercicio,2.979,14,3.972,00,2.588,77
TOTAL,7.204, 80,9.270,60,9.368,34
