,Garantía
Personal,Garantía
Real,Descubiertos,Tarjetas
A,33.000,100.000,7.500,7.500
B,30.000,90.000,6.000,6.000
C,24.000,81.000,4.500,4.500
D,18.000,72.000,3.000,3.000
E,13.000,63.000,2.100,2.100
F,9.000,54.000,1.200,1.200
