,,31.12.2006,31.12.2005,(A)/(B)
,,,,
BALANCE (millones de euros),BALANCE (millones de euros),,,
,,479.904,376.711,1,274
,,414.722,330.644,1,254
,,427.626,335.432,1,275
,,20.173,14.491,1,392
,,447.799,349.923,1,280
,,28.855,26.537,1,087
,,28.600,26.286,1,088
,,,,
CUENTA DE RESULTADOS (millones de euros),CUENTA DE RESULTADOS (millones de euros),,,
,,8.895,7.560,1,177
,,11.211,9.501,1,180
,,11.745,10.446,1,124
,,3.677,3.225,1,140
,,2.217,2.012,1,102
,,1.936,1.710,1,132
,,,,
RATIOS RELEVANTES (%),RATIOS RELEVANTES (%),,,
,,0,91,1,04,
,,,,
,,0,46,0,52,
,,,,
,,63,7,64,1,
,,68,7,69,6,
,,1,39,1,15,
,,141,63,170,22,
,,,,
RATIOS DE CAPITAL (NORMATIVA BIS) (%),RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,
,,9,11,,
,,11,40,,
,,11,96,,
