,,,31.12.2006,,31.12.2005,,(A)/(B)
,,,,,,,
,BALANCE (millones de euros),,,,,,
,,504,,462,,1,091,
,,,365,,298,,1,225
,,,417,,375,,1,112
,,,,,,,1,933
,,,475,,405,,1,173
,,,33,,31,,1,065
,,,32,,29,,1,103
,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,
,,,13,,11,,1,182
,,,,,,,1,250
,,,,,,,1,154
,,,,,,,1,200
,,,,,,,1,000
