ATRIBUCIONES,GARANTIA REAL
Comisión Ejecutiva,2.000.000 €
Comisión Delegada,1.000.000 €
Director General
Director Área de Inversiones
Director Área Comercial
Director Área de Empresas
Subdirector Área Inversiones,300.000 €
Analista
Director de oficina,250.000 €
