Cartera de préstamos hipotecarios al día 14.06.2005
Clasificación por fecha de vencimiento final,,,
Año de vencimiento final,Préstamos
%,Principal pendiente
(euros) %,Vida Residual *
Meses Fecha
2006,4 0,03,50.510,64 0,00,11,78 8.06.2006
2007,17 0,11,1.047.165,54 0,06,23,93 12.06.2007
2008,24 0,16,850.351,43 0,05,36,63 3.07.2008
2009,59 0,40,2.183.276,05 0,12,49,25 22.07.2009
2010,49 0,33,1.698.817,44 0,10,60,42 27.06.2010
2011,70 0,47,3.136.324,43 0,18,72,68 5.07.2011
2012,85 0,57,3.491.988,98 0,20,84,62 3.07.2012
2013,234 1,57,9.639.598,07 0,55,97,82 8.08.2013
2014,466 3,13,28.607.952,57 1,62,108,36 25.06.2014
2015,117 0,79,7.209.247,39 0,41,121,59 2.08.2015
2016,195 1,31,13.329.110,16 0,76,133,54 31.07.2016
2017,94 0,63,6.269.263,94 0,36,144,51 30.06.2017
2018,460 3,09,30.041.720,86 1,71,158,19 20.08.2018
2019,1.216 8,17,98.039.077,83 5,57,168,69 6.07.2019
2020,121 0,81,7.942.469,41 0,45,181,15 19.07.2020
2021,156 1,05,12.265.996,29 0,70,193,23 21.07.2021
2022,196 1,32,17.804.059,26 1,01,204,93 12.07.2022
2023,537 3,61,47.691.770,50 2,71,218,37 26.08.2023
2024,1.687 11,34,179.780.988,88 10,21,228,92 12.07.2024
2025,146 0,98,11.987.522,08 0,68,240,91 12.07.2025
2026,180 1,21,15.026.581,12 0,85,252,74 7.07.2026
2027,182 1,22,17.600.454,32 1,00,264,35 25.06.2027
