Cartera de préstamos hipotecarios al día 14.06.2005
Clasificación por índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos
%,Principal pendiente
(euros) %,%Margen *
s/índice
EURIBOR a 1 año,14.876 100,00,1.760.762.446,70 100,00,0,54
Total 14.876 100,00 1.760.762.446,70 100,00 0,54,,,
*Margen medio ponderado por el principal pendiente.,,,
