Fecha Bonos de la Serie A1 Bonos de la Serie A2 Bonos de la Serie B Bonos de la Serie C Bonos de la Serie D Bonos de la Serie E
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.259,17 103.259,17 100.000,00 14.616,50 114.616,50 100.000,00 24.214,94 124.214,94 100.000,00 28.469,04 128.469,04 100.000,00 41.637,01 141.637,01 100.000,00 67.271,95 167.271,95
21 mar 2013 0,00 0,00 0,00 1.305,53 192,53 1.498,06 2.581,50 402,59 2.984,09 2.581,58 473,32 3.054,90 2.581,83 692,28 3.274,11 2.573,66 1.025,82 3.599,48
21 jun 2013 0,00 0,00 0,00 1.280,87 189,26 1.470,13 2.532,73 395,76 2.928,49 2.532,81 465,29 2.998,10 2.533,05 680,54 3.213,59 2.525,04 1.008,42 3.533,46
23 sep 2013 0,00 0,00 0,00 1.237,23 185,82 1.423,05 2.446,46 388,55 2.835,01 2.446,53 456,82 2.903,35 2.446,77 668,14 3.114,91 2.439,03 968,99 3.408,02
23 dic 2013 0,00 0,00 0,00 1.186,33 172,81 1.359,14 2.345,80 361,36 2.707,16 2.345,87 424,85 2.770,72 2.346,09 621,39 2.967,48 2.338,67 920,78 3.259,45
21 mar 2014 0,00 0,00 0,00 1.137,25 160,56 1.297,81 2.248,75 335,74 2.584,49 2.248,81 394,73 2.643,54 2.249,03 577,33 2.826,36 2.241,91 874,93 3.116,84
23 jun 2014 0,00 0,00 0,00 1.111,13 164,79 1.275,92 2.197,11 344,59 2.541,70 2.197,18 405,13 2.602,31 2.197,39 592,55 2.789,94 2.190,44 859,36 3.049,80
22 sep 2014 0,00 0,00 0,00 1.068,50 153,18 1.221,68 2.112,81 320,32 2.433,13 2.112,88 376,59 2.489,47 2.113,08 550,81 2.663,89 2.106,39 825,15 2.931,54
22 dic 2014 0,00 0,00 0,00 1.021,79 147,08 1.168,87 2.020,45 307,55 2.328,00 2.020,51 361,58 2.382,09 2.020,70 528,85 2.549,55 889,50 783,65 1.673,15
23 mar 2015 0,00 0,00 0,00 978,22 141,24 1.119,46 1.934,29 295,33 2.229,62 1.934,35 347,22 2.281,57 1.934,53 507,85 2.442,38 0,00 761,45 761,45
22 jun 2015 0,00 0,00 0,00 958,66 135,65 1.094,31 1.895,62 283,64 2.179,26 1.895,68 333,48 2.229,16 1.895,86 487,75 2.383,61 0,00 778,37 778,37
21 sep 2015 0,00 0,00 0,00 926,13 130,17 1.056,30 1.831,29 272,19 2.103,48 1.831,34 320,01 2.151,35 1.831,52 468,05 2.299,57 0,00 778,37 778,37
21 dic 2015 0,00 0,00 0,00 888,66 124,87 1.013,53 1.757,19 261,12 2.018,31 1.757,25 307,00 2.064,25 1.757,42 449,01 2.206,43 0,00 769,91 769,91
21 mar 2016 0,00 0,00 0,00 858,16 119,80 977,96 1.696,90 250,50 1.947,40 1.696,95 294,51 1.991,46 1.697,11 430,75 2.127,86 0,00 769,91 769,91
21 jun 2016 0,00 0,00 0,00 834,26 116,15 950,41 1.649,63 242,88 1.892,51 1.649,68 285,56 1.935,24 1.649,84 417,66 2.067,50 0,00 778,37 778,37
21 sep 2016 0,00 0,00 0,00 804,99 111,33 916,32 1.591,75 232,80 1.824,55 1.591,80 273,70 1.865,50 1.591,95 400,32 1.992,27 0,00 778,37 778,37
21 dic 2016 0,00 0,00 0,00 771,45 105,52 876,97 1.525,44 220,65 1.746,09 1.525,48 259,42 1.784,90 1.525,63 379,43 1.905,06 0,00 769,91 769,91
21 mar 2017 0,00 0,00 0,00 739,16 100,00 839,16 1.461,59 209,11 1.670,70 1.461,63 245,85 1.707,48 1.461,77 359,58 1.821,35 0,00 761,45 761,45
21 jun 2017 0,00 0,00 0,00 723,40 97,95 821,35 1.430,43 204,82 1.635,25 1.430,47 240,81 1.671,28 1.430,61 352,21 1.782,82 0,00 778,37 778,37
21 sep 2017 0,00 0,00 0,00 698,45 93,77 792,22 1.381,10 196,08 1.577,18 1.381,14 230,53 1.611,67 1.381,27 337,18 1.718,45 0,00 778,37 778,37
21 dic 2017 0,00 0,00 0,00 669,92 88,76 758,68 1.324,67 185,61 1.510,28 1.324,71 218,22 1.542,93 1.324,84 319,16 1.644,00 0,00 769,91 769,91
21 mar 2018 0,00 0,00 0,00 642,74 84,00 726,74 1.270,93 175,65 1.446,58 1.270,96 206,51 1.477,47 1.271,09 302,04 1.573,13 0,00 761,45 761,45
21 jun 2018 0,00 0,00 0,00 628,06 82,15 710,21 1.241,90 171,79 1.413,69 1.241,94 201,97 1.443,91 1.242,06 295,40 1.537,46 0,00 778,37 778,37
21 sep 2018 0,00 0,00 0,00 604,80 78,52 683,32 1.195,91 164,20 1.360,11 1.195,95 193,05 1.389,00 1.196,07 282,35 1.478,42 0,00 778,37 778,37
21 dic 2018 0,00 0,00 0,00 577,86 74,21 652,07 1.142,64 155,18 1.297,82 1.142,67 182,45 1.325,12 1.142,78 266,85 1.409,63 0,00 769,91 769,91
21 mar 2019 0,00 0,00 0,00 551,28 70,13 621,41 1.090,07 146,65 1.236,72 1.090,10 172,41 1.262,51 1.090,21 252,17 1.342,38 0,00 761,45 761,45
21 jun 2019 0,00 0,00 0,00 533,65 68,50 602,15 1.055,21 143,25 1.198,46 1.055,24 168,41 1.223,65 1.055,35 246,32 1.301,67 0,00 778,37 778,37
23 sep 2019 0,00 0,00 0,00 506,15 66,84 572,99 1.000,84 139,77 1.140,61 1.000,87 164,33 1.165,20 1.000,97 240,35 1.241,32 0,00 778,37 778,37
23 dic 2019 0,00 0,00 0,00 479,47 61,82 541,29 948,08 129,26 1.077,34 948,11 151,97 1.100,08 948,20 222,28 1.170,48 0,00 769,91 769,91
23 mar 2020 0,00 0,00 0,00 10.336,58 59,08 10.395,66 20.439,23 123,53 20.562,76 20.439,84 145,24 20.585,08 20.441,77 212,42 20.654,19 49.841,07 769,91 50.610,98
