FLUJOS POR CADA BONO SIN RETENCIÓN PARA EL TOMADOR
(IMPORTES EN EUROS)
TACP = 8%
Fecha Bonos de la Serie A1 Bonos de la Serie A2 Bonos de la Serie B Bonos de la Serie C Bonos de la Serie D Bonos de la Serie E
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.259,17 103.259,17 100.000,00 16.745,58 116.745,58 100.000,00 27.750,16 127.750,16 100.000,00 32.625,33 132.625,33 100.000,00 47.715,58 147.715,58 100.000,00 76.908,31 176.908,31
21 mar 2013 0,00 0,00 0,00 1.327,49 226,82 1.554,31 2.624,93 474,29 3.099,22 2.625,00 557,62 3.182,62 2.625,26 815,58 3.440,84 2.616,95 1.208,52 3.825,47
21 jun 2013 0,00 0,00 0,00 1.309,25 224,19 1.533,44 2.588,87 468,79 3.057,66 2.588,94 551,15 3.140,09 2.589,19 806,12 3.395,31 2.581,00 1.194,51 3.775,51
23 sep 2013 0,00 0,00 0,00 1.272,80 221,33 1.494,13 2.516,78 462,82 2.979,60 2.516,85 544,13 3.060,98 2.517,09 795,85 3.312,94 2.509,13 1.154,20 3.663,33
23 dic 2013 0,00 0,00 0,00 1.228,95 206,99 1.435,94 2.430,08 432,83 2.862,91 2.430,15 508,88 2.939,03 2.430,39 744,29 3.174,68 2.422,70 1.102,89 3.525,59
21 mar 2014 0,00 0,00 0,00 1.186,21 193,38 1.379,59 2.345,57 404,36 2.749,93 2.345,64 475,41 2.821,05 2.345,87 695,33 3.041,20 2.338,45 1.053,76 3.392,21
23 jun 2014 0,00 0,00 0,00 1.164,46 199,56 1.364,02 2.302,55 417,29 2.719,84 2.302,62 490,60 2.793,22 2.302,84 717,56 3.020,40 2.295,56 1.040,66 3.336,22
22 sep 2014 0,00 0,00 0,00 1.126,30 186,54 1.312,84 2.227,10 390,05 2.617,15 2.227,16 458,59 2.685,75 2.227,38 670,73 2.898,11 2.220,33 1.004,81 3.225,14
22 dic 2014 0,00 0,00 0,00 1.084,20 180,10 1.264,30 2.143,86 376,59 2.520,45 2.143,92 442,76 2.586,68 2.144,13 647,58 2.791,71 2.137,34 959,59 3.096,93
23 mar 2015 0,00 0,00 0,00 1.044,95 173,90 1.218,85 2.066,24 363,64 2.429,88 2.066,30 427,53 2.493,83 2.066,50 625,30 2.691,80 2.059,97 916,39 2.976,36
22 jun 2015 0,00 0,00 0,00 1.029,48 167,93 1.197,41 2.035,66 351,15 2.386,81 2.035,72 412,84 2.448,56 2.035,91 603,83 2.639,74 2.029,47 904,58 2.934,05
21 sep 2015 0,00 0,00 0,00 1.001,15 162,05 1.163,20 1.979,63 338,85 2.318,48 1.979,69 398,38 2.378,07 1.979,88 582,67 2.562,55 1.973,62 872,89 2.846,51
21 dic 2015 0,00 0,00 0,00 967,63 156,32 1.123,95 1.913,35 326,88 2.240,23 1.913,40 384,31 2.297,71 1.913,59 562,10 2.475,69 1.907,53 832,92 2.740,45
21 mar 2016 0,00 0,00 0,00 940,54 150,79 1.091,33 1.859,79 315,32 2.175,11 1.859,84 370,72 2.230,56 1.860,02 542,21 2.402,23 1.854,14 803,45 2.657,59
21 jun 2016 0,00 0,00 0,00 919,81 147,02 1.066,83 1.818,81 307,42 2.126,23 1.818,86 361,43 2.180,29 1.819,04 528,63 2.347,67 317,24 783,32 1.100,56
21 sep 2016 0,00 0,00 0,00 893,40 141,70 1.035,10 1.766,58 296,30 2.062,88 1.766,63 348,36 2.114,99 1.766,80 509,52 2.276,32 0,00 778,37 778,37
21 dic 2016 0,00 0,00 0,00 862,35 135,05 997,40 1.705,17 282,41 1.987,58 1.705,22 332,02 2.037,24 1.705,39 485,62 2.191,01 0,00 769,91 769,91
21 mar 2017 0,00 0,00 0,00 832,13 128,70 960,83 1.645,41 269,11 1.914,52 1.645,46 316,39 1.961,85 1.645,62 462,76 2.108,38 0,00 761,45 761,45
21 jun 2017 0,00 0,00 0,00 818,83 126,75 945,58 1.619,12 265,04 1.884,16 1.619,17 311,60 1.930,77 1.619,32 455,75 2.075,07 0,00 778,37 778,37
21 sep 2017 0,00 0,00 0,00 796,00 122,02 918,02 1.573,98 255,14 1.829,12 1.574,03 299,97 1.874,00 1.574,18 438,74 2.012,92 0,00 778,37 778,37
21 dic 2017 0,00 0,00 0,00 769,18 116,14 885,32 1.520,94 242,86 1.763,80 1.520,99 285,53 1.806,52 1.521,13 417,61 1.938,74 0,00 769,91 769,91
21 mar 2018 0,00 0,00 0,00 743,47 110,52 853,99 1.470,10 231,10 1.701,20 1.470,15 271,70 1.741,85 1.470,29 397,39 1.867,68 0,00 761,45 761,45
21 jun 2018 0,00 0,00 0,00 730,45 108,68 839,13 1.444,37 227,25 1.671,62 1.444,41 267,18 1.711,59 1.444,55 390,77 1.835,32 0,00 778,37 778,37
21 sep 2018 0,00 0,00 0,00 708,08 104,46 812,54 1.400,13 218,42 1.618,55 1.400,17 256,80 1.656,97 1.400,31 375,60 1.775,91 0,00 778,37 778,37
21 dic 2018 0,00 0,00 0,00 681,32 99,27 780,59 1.347,21 207,59 1.554,80 1.347,25 244,06 1.591,31 1.347,38 356,96 1.704,34 0,00 769,91 769,91
21 mar 2019 0,00 0,00 0,00 654,39 94,33 748,72 1.293,96 197,25 1.491,21 1.293,99 231,91 1.525,90 1.294,12 339,19 1.633,31 0,00 761,45 761,45
21 jun 2019 0,00 0,00 0,00 636,19 92,65 728,84 1.257,98 193,73 1.451,71 1.258,02 227,77 1.485,79 1.258,14 333,13 1.591,27 0,00 778,37 778,37
23 sep 2019 0,00 0,00 0,00 606,19 90,91 697,10 1.198,66 190,09 1.388,75 1.198,70 223,49 1.422,19 1.198,82 326,87 1.525,69 0,00 778,37 778,37
23 dic 2019 0,00 0,00 0,00 577,61 84,54 662,15 1.142,14 176,78 1.318,92 1.142,17 207,84 1.350,01 1.142,28 303,98 1.446,26 0,00 769,91 769,91
23 mar 2020 0,00 0,00 0,00 554,59 81,24 635,83 1.096,62 169,87 1.266,49 1.096,65 199,72 1.296,37 1.096,76 292,11 1.388,87 0,00 769,91 769,91
22 jun 2020 0,00 0,00 0,00 541,18 78,07 619,25 1.070,10 163,25 1.233,35 1.070,13 191,93 1.262,06 1.070,24 280,71 1.350,95 0,00 778,37 778,37
21 sep 2020 0,00 0,00 0,00 525,88 74,98 600,86 1.039,86 156,78 1.196,64 1.039,89 184,32 1.224,21 1.039,99 269,59 1.309,58 0,00 778,37 778,37
21 dic 2020 0,00 0,00 0,00 507,79 71,97 579,76 1.004,08 150,49 1.154,57 1.004,11 176,93 1.181,04 1.004,20 258,79 1.262,99 0,00 769,91 769,91
22 mar 2021 0,00 0,00 0,00 490,63 69,07 559,70 970,15 144,42 1.114,57 970,17 169,80 1.139,97 970,27 248,35 1.218,62 0,00 761,45 761,45
21 jun 2021 0,00 0,00 0,00 481,52 66,26 547,78 952,14 138,56 1.090,70 952,17 162,91 1.115,08 952,26 238,27 1.190,53 0,00 778,37 778,37
21 sep 2021 0,00 0,00 0,00 467,49 64,21 531,70 924,39 134,27 1.058,66 924,42 157,86 1.082,28 924,50 230,88 1.155,38 0,00 778,37 778,37
21 dic 2021 0,00 0,00 0,00 451,29 60,84 512,13 892,37 127,22 1.019,59 892,40 149,57 1.041,97 892,48 218,76 1.111,24 0,00 769,91 769,91
21 mar 2022 0,00 0,00 0,00 10.193,79 57,62 10.251,41 20.156,87 120,49 20.277,36 20.157,52 141,66 20.299,18 20.159,43 207,19 20.366,62 49.841,08 761,45 50.602,53
