,TAA 5%,,TAA 10%,,TAA 15%,
Serie,Vida Media,Duración,Vida Media,Duración,Vida Media,Duración
A1,1,343,1,294,0,882,0,855,0,668,0,650
A2,7,671,6,799,5,096,4,662,3,748,3,492
A3,17,472,14,088,13,320,11,227,10,092,8,815
B,13,900,11,419,10,101,8,660,7,498,6,639
C,13,900,11,112,10,101,8,476,7,498,6,526
D,13,900,9,669,10,101,7,588,7,498,5,972
